ID,Module,Degree,Label
0,1,208.3128455047974,lh_bankssts_part1
1,2,222.88858256230068,lh_bankssts_part2
2,2,235.0809677400741,lh_caudalanteriorcingulate_part1
3,1,177.83798790294102,lh_caudalmiddlefrontal_part1
4,1,237.005311109007,lh_caudalmiddlefrontal_part2
5,1,220.98162198793034,lh_caudalmiddlefrontal_part3
6,1,201.76040899641583,lh_caudalmiddlefrontal_part4
7,3,214.51200607413435,lh_cuneus_part1
8,3,214.30007169825484,lh_cuneus_part2
9,3,186.25549584475934,lh_fusiform_part1
10,3,196.11281496949127,lh_fusiform_part3
11,3,242.25329382131636,lh_fusiform_part5
12,1,190.7943893158267,lh_inferiorparietal_part1
13,3,153.81401260246733,lh_inferiorparietal_part2
14,1,188.7561111673932,lh_inferiorparietal_part3
15,1,159.57092935186665,lh_inferiorparietal_part4
16,1,184.91298116166726,lh_inferiorparietal_part5
17,1,168.39256012845598,lh_inferiorparietal_part6
18,1,156.2827251187811,lh_inferiorparietal_part7
19,1,161.97237671844456,lh_inferiorparietal_part8
20,4,189.6053192719506,lh_inferiortemporal_part2
21,4,216.00197243934275,lh_inferiortemporal_part4
22,1,182.46221913576105,lh_isthmuscingulate_part1
23,1,193.0750851791625,lh_isthmuscingulate_part2
24,3,159.29915293446297,lh_lateraloccipital_part1
25,3,206.2588742578311,lh_lateraloccipital_part2
26,3,192.4114610760537,lh_lateraloccipital_part3
27,3,219.18389326580953,lh_lateraloccipital_part4
28,3,163.56572774497292,lh_lateraloccipital_part5
29,3,188.7032720222646,lh_lateraloccipital_part6
30,3,202.69876430414286,lh_lateraloccipital_part7
31,3,170.4700540116059,lh_lateraloccipital_part8
32,3,215.1459262310809,lh_lateraloccipital_part9
33,1,175.39615123089354,lh_lateralorbitofrontal_part1
34,1,248.51249438382607,lh_lateralorbitofrontal_part2
35,1,205.6142298365232,lh_lateralorbitofrontal_part3
36,1,224.4521218043875,lh_lateralorbitofrontal_part4
37,3,219.1836074999532,lh_lingual_part1
38,3,210.0036477074702,lh_lingual_part2
39,3,212.24469393558047,lh_lingual_part3
40,3,212.6041549039883,lh_lingual_part4
41,3,237.09306070184763,lh_lingual_part5
42,3,179.57704785635244,lh_lingual_part6
43,1,209.95628961468418,lh_medialorbitofrontal_part1
44,1,153.31080338430183,lh_medialorbitofrontal_part2
45,1,165.2408463936124,lh_medialorbitofrontal_part3
46,4,209.98117453777593,lh_middletemporal_part2
47,1,123.3495893553654,lh_middletemporal_part3
48,1,186.35379918669963,lh_middletemporal_part4
49,1,207.60937100229327,lh_middletemporal_part5
50,1,114.04423628832878,lh_parahippocampal_part2
51,2,239.55556651078308,lh_paracentral_part1
52,2,256.65863906119847,lh_paracentral_part2
